release_date,price,average_playtime,release_month,release_year,multi_player,single_player,sports,total_ratings
2000-11-01,7.19,17612,11,2000,1,0,0,127873
1999-04-01,3.99,277,4,1999,1,0,0,3951
2003-05-01,3.99,187,5,2003,1,0,0,3814
2001-06-01,3.99,258,6,2001,1,0,0,1540
1999-11-01,3.99,624,11,1999,1,1,0,5538
2000-11-01,3.99,175,11,2000,1,0,0,3442
1998-11-08,7.19,1300,11,1998,1,1,0,28855
2004-03-01,7.19,427,3,2004,1,1,0,13559
2001-06-01,3.99,361,6,2001,0,1,0,4242
2004-11-16,7.19,691,11,2004,0,1,0,70321
2004-11-01,7.19,6842,11,2004,1,0,0,80137
2004-06-01,0.0,190,6,2004,0,1,0,4820
2010-07-12,7.19,1356,7,2010,1,0,0,11699
2004-11-01,3.99,311,11,2004,1,0,0,6807
2005-10-27,0.0,46,10,2005,0,1,0,6803
2006-05-01,0.0,102,5,2006,1,0,0,1835
2006-06-01,5.79,281,6,2006,0,1,0,8425
2007-10-10,7.19,288,10,2007,0,1,0,52881
2007-10-10,5.79,354,10,2007,0,1,0,14598
2007-10-10,0.0,8495,10,2007,1,0,0,549915
2008-11-17,7.19,897,11,2008,1,1,0,18899
2009-11-19,7.19,1615,11,2009,1,1,0,260207
2013-07-09,0.0,23944,7,2013,1,0,0,1005586
2011-04-18,7.19,1102,4,2011,0,1,0,140111
2010-07-19,0.0,371,7,2010,1,1,0,18376
2012-08-21,0.0,22494,8,2012,1,0,0,3046717
2005-10-12,5.99,0,10,2005,1,1,0,57
2006-03-14,3.99,232,3,2006,1,0,0,1785
2009-05-14,14.99,1328,5,2009,1,1,0,56359
2006-05-10,7.19,0,5,2006,0,1,0,529
2005-07-14,7.19,182,7,2005,0,1,0,630
2006-08-23,6.99,65,8,2006,0,1,0,1754
2006-09-29,7.19,80,9,2006,1,1,0,2401
2008-09-19,7.19,121,9,2008,1,1,0,443
2006-02-07,22.99,0,2,2006,1,1,0,184
2006-02-07,6.99,0,2,2006,1,1,0,138
2006-07-06,4.99,0,7,2006,1,1,0,559
2006-07-06,4.99,9,7,2006,1,1,0,642
2006-07-26,3.99,0,7,2006,1,1,0,239
2006-10-16,10.99,35,10,2006,1,1,0,276
2007-04-03,2.99,11,4,2007,0,1,0,777
